Symbol,Date,Open,High,Low,Close,Adj Close,Volume
COKE,4/1/2020,204.710007,206,192.550003,194.089996,193.276932,86300
COKE,4/2/2020,194.770004,201.729996,193.770004,198.990005,198.156403,60100
COKE,4/3/2020,200,210.240005,196.139999,207.009995,206.142807,53900
COKE,4/6/2020,213.5,223.820007,202.009995,221.470001,220.542236,75900
COKE,4/7/2020,225,230.440002,216.429993,223,222.065826,73600
COKE,4/8/2020,226.589996,233.970001,220.509995,230.009995,229.046448,52900
COKE,4/9/2020,235.520004,255.5,230.009995,253.169998,252.109436,86700
COKE,4/13/2020,250,250,236,238.190002,237.192184,76100
COKE,4/14/2020,245.600006,249.649994,238.75,241.970001,240.95636,52200
COKE,4/15/2020,237,241.350006,234.410004,234.410004,233.428024,45000
COKE,4/16/2020,237,242.639999,231.360001,236.759995,235.768158,36000
COKE,4/17/2020,242.979996,244,239.059998,242.979996,241.962097,31800
COKE,4/20/2020,240,240.940002,233.550003,234.899994,233.915955,41200
COKE,4/21/2020,232.139999,232.139999,222.539993,223.720001,222.782791,63200
COKE,4/22/2020,225.860001,229.660004,223,227.550003,226.85025,41400
COKE,4/23/2020,228.289993,229.809998,225.089996,226.130005,225.434631,27900
COKE,4/24/2020,226.070007,229.270004,224.029999,227.850006,227.149338,29200
COKE,4/27/2020,230.979996,239.839996,229.149994,238.050003,237.317963,58900
COKE,4/28/2020,242.119995,243,237.300003,237.589996,236.859375,52100
COKE,4/29/2020,243.589996,246.990005,238.490005,242.529999,241.784195,46300
COKE,4/30/2020,240.179993,244.710007,232.490005,235.470001,234.745911,41000
COKE,5/1/2020,231.559998,238.740005,227.25,232.139999,231.426147,31500
COKE,5/4/2020,230.539993,235.259995,225,232.880005,232.163864,39300
COKE,5/5/2020,235,240.990005,230.759995,233.639999,232.921524,42500
COKE,5/6/2020,239.990005,243.960007,235.199997,239.889999,239.152298,51600
COKE,5/7/2020,243.490005,243.490005,230.25,230.5,229.791199,54200
COKE,5/8/2020,235,242.710007,232.889999,240.960007,240.219025,51000
COKE,5/11/2020,241,242.880005,237,237.490005,236.759705,32600
COKE,5/12/2020,241.050003,241.580002,232.080002,232.080002,231.366333,38500
COKE,5/13/2020,231.720001,233.770004,227.380005,227.559998,226.860214,45700
COKE,5/14/2020,225,229.570007,221.149994,229.570007,228.864059,30400
COKE,5/15/2020,228.970001,234.990005,225.279999,227.009995,226.311905,25000
COKE,5/18/2020,232,239,230.770004,236.75,236.021973,33700
COKE,5/19/2020,237.580002,239,232.929993,232.929993,232.213715,28900
COKE,5/20/2020,237.009995,238.5,233.440002,238.039993,237.307999,27700
COKE,5/21/2020,238.100006,238.100006,233.610001,234.740005,234.018143,17900
COKE,5/22/2020,234,237.949997,231.860001,236.589996,235.862442,19800
COKE,5/26/2020,240,244.229996,237.850006,241.460007,240.717484,36100
COKE,5/27/2020,244.190002,251.509995,243.100006,250.539993,249.769547,35600
COKE,5/28/2020,254,256.070007,246.919998,246.919998,246.16069,31300
