Symbol,Date,Open,High,Low,Close,Adj Close,Volume
FDX,2/21/2020,163.259995,164.139999,161.690002,163.25,160.836365,1645300
FDX,2/24/2020,156.259995,157.720001,152.619995,154.850006,152.560577,3116300
FDX,2/25/2020,155.660004,155.800003,144.809998,145.600006,143.447342,4223800
FDX,2/26/2020,147.419998,149.389999,143.559998,144.529999,142.393143,2766300
FDX,2/27/2020,140.759995,145.490005,136.479996,138.759995,136.708435,3535000
FDX,2/28/2020,135,141.199997,134.059998,141.169998,139.082825,4395600
FDX,3/2/2020,142.179993,142.520004,135.279999,139.75,137.683823,4418600
FDX,3/3/2020,140,142.169998,132.559998,133.089996,131.122284,4373300
FDX,3/4/2020,135.059998,136.460007,132.179993,136.410004,134.393204,2854700
FDX,3/5/2020,132.009995,133.139999,128.75,129.929993,128.009003,3150000
FDX,3/6/2020,125.75,130.649994,123.790001,127.68,126.424728,3886300
FDX,3/9/2020,120.400002,121.580002,113.849998,115.699997,114.562508,4048100
FDX,3/10/2020,120.139999,121.75,113.870003,120.669998,119.48365,3564900
FDX,3/11/2020,117.389999,118.300003,108.529999,111.010002,109.918625,4746400
FDX,3/12/2020,103.199997,105.18,96.199997,97,96.046356,5156500
FDX,3/13/2020,102.459999,106.68,96,106.629997,105.58168,4275000
FDX,3/16/2020,92,99.870003,90.489998,90.489998,89.600357,4417400
FDX,3/17/2020,92.900002,100.150002,88.690002,94.959999,94.026405,5548700
FDX,3/18/2020,90.389999,100.699997,89.800003,99.68,98.700012,6997700
FDX,3/19/2020,98.849998,116.160004,97.370003,111.68,110.582031,4646900
FDX,3/20/2020,113.879997,118.699997,106.589996,111.059998,109.968124,4479200
FDX,3/23/2020,110.940002,115.050003,107.25,111.760002,110.661247,3933900
FDX,3/24/2020,118,121.800003,115.43,120.040001,118.85984,3014400
FDX,3/25/2020,121.360001,126.940002,114.93,118.309998,117.146843,4133200
FDX,3/26/2020,119.360001,127,119.010002,125.599998,124.365181,2713900
FDX,3/27/2020,120.050003,124.349998,116,120.580002,119.394531,2619400
FDX,3/30/2020,122.379997,125.610001,119.25,124.309998,123.087868,2281000
FDX,3/31/2020,122.5,124.849998,119.260002,121.260002,120.067856,2643800
FDX,4/1/2020,116.010002,118.75,112.300003,113.480003,112.364342,2569600
FDX,4/2/2020,112.529999,117.300003,111.589996,116.639999,115.493271,2336100
FDX,4/3/2020,115.239998,116,107.690002,109.220001,108.146217,3205200
FDX,4/6/2020,113.040001,119.809998,113.010002,119.019997,117.849861,3512600
FDX,4/7/2020,124.910004,125.480003,115.75,115.949997,114.810051,3189300
FDX,4/8/2020,123,127.230003,119.919998,125.540001,124.305771,5576500
FDX,4/9/2020,129.610001,130,120.160004,122.290001,121.087715,4750500
FDX,4/13/2020,125.190002,125.190002,121.739998,123.529999,122.315529,2821800
FDX,4/14/2020,125.739998,126.980003,122.050003,125.080002,123.850296,3084200
FDX,4/15/2020,121.690002,121.690002,118.150002,119.900002,118.721222,2945000
FDX,4/16/2020,119.730003,121,117.120003,119.080002,117.909279,2238700
FDX,4/17/2020,121,124.959999,120.730003,124.849998,123.622551,2464000
FDX,4/20/2020,122.529999,125.669998,121.830002,122.639999,121.43428,2242000
FDX,4/21/2020,120.629997,122.18,119.620003,120.480003,119.295517,1605600
FDX,4/22/2020,122.519997,122.970001,118.449997,118.540001,117.374588,2085800
FDX,4/23/2020,118.639999,122.419998,118.5,120.879997,119.691582,2021100
FDX,4/24/2020,121.410004,123.190002,119.480003,123.059998,121.850151,2111600
FDX,4/27/2020,124.160004,128.5,122.32,127.290001,126.038559,2395900
FDX,4/28/2020,129.809998,129.889999,125.160004,127.739998,126.484138,2738700
FDX,4/29/2020,130,131.800003,128.460007,129.479996,128.207031,2172500
FDX,4/30/2020,127.93,127.93,125.75,126.769997,125.523674,1970400
FDX,5/1/2020,124.519997,124.559998,117.5,118.199997,117.037926,3141800
FDX,5/4/2020,117.120003,117.559998,114.610001,115.849998,114.711029,2410400
FDX,5/5/2020,117.830002,120.120003,117.129997,117.669998,116.513138,1703100
FDX,5/6/2020,118.889999,119.419998,115.080002,115.120003,113.988213,1917100
FDX,5/7/2020,116.940002,118.870003,116.150002,116.739998,115.592285,1842100
FDX,5/8/2020,118.25,120.889999,118.18,120.440002,119.255913,1771700
FDX,5/11/2020,118.389999,119.370003,116.279999,117.559998,116.404221,1863500
FDX,5/12/2020,118,118.110001,113.080002,113.139999,112.027672,1979400
FDX,5/13/2020,113.080002,113.150002,108.25,109.339996,108.265038,2905900
FDX,5/14/2020,107.360001,109.18,103.400002,109.110001,108.0373,3254700
FDX,5/15/2020,107.540001,108.959999,106.25,107.519997,106.462921,2940000
FDX,5/18/2020,113.489998,120,112.790001,119.190002,118.018204,3603900
FDX,5/19/2020,119,119.400002,114.650002,114.790001,113.661461,2484600
FDX,5/20/2020,116.800003,119.480003,115.830002,117.010002,115.859627,2604100
FDX,5/21/2020,116.580002,118.43,115.529999,115.769997,114.631821,1740300
FDX,5/22/2020,115.75,117.559998,114.919998,117,115.849724,2245900
FDX,5/26/2020,122.989998,126.739998,122.010002,124.809998,123.582947,3823000
FDX,5/27/2020,128,130.779999,125.5,130.429993,129.147675,3203000
FDX,5/28/2020,131,133.910004,129.300003,131.149994,129.860596,3238000
FDX,5/29/2020,130.190002,130.889999,126.440002,130.559998,129.276413,3410100
FDX,6/1/2020,129.050003,130.460007,127.459999,129.710007,128.434784,1990300
FDX,6/2/2020,130.830002,134.589996,130.710007,134.199997,132.88063,2522000
FDX,6/3/2020,137,139.880005,136.529999,138.080002,136.722473,2728800
FDX,6/4/2020,137.300003,139.25,135.649994,139.210007,137.841385,2001300
FDX,6/5/2020,143,145.770004,142,142.210007,140.811905,3583900
FDX,6/8/2020,144.940002,149.990005,144.139999,149.380005,147.911407,2709900
FDX,6/9/2020,145.880005,145.929993,142.100006,144.690002,143.267502,2253100
FDX,6/10/2020,144,144.410004,140.320007,140.399994,139.019653,2079600
FDX,6/11/2020,133.949997,134.470001,127.809998,128.809998,127.54361,4389300
FDX,6/12/2020,134.589996,135,129.139999,132.720001,131.415192,2272900
FDX,6/15/2020,128.419998,134.630005,127.290001,133.679993,132.365738,1835300
FDX,6/16/2020,138.149994,139.369995,133,135.539993,134.207458,1651800
FDX,6/17/2020,136.710007,137.399994,134.869995,135.660004,134.326279,1214400
FDX,6/18/2020,134.919998,139.339996,134.5,138.389999,137.029434,2416200
FDX,6/19/2020,140.759995,140.880005,135.619995,137.630005,136.276917,2828500
FDX,6/22/2020,136.550003,137.75,135.199997,137.380005,136.029358,1448100
FDX,6/23/2020,138.550003,139.839996,137.380005,139.070007,137.702744,1385200
FDX,6/24/2020,137.649994,138,134.130005,135.089996,133.761871,2357300
FDX,6/25/2020,133.720001,136.279999,132.229996,136.110001,134.771866,2310900
FDX,6/26/2020,135.199997,135.380005,129.279999,130.080002,129.419174,3282000
FDX,6/29/2020,131.300003,134.729996,130.119995,134.550003,133.86647,2336200
FDX,6/30/2020,136.220001,140.75,134.919998,140.220001,139.507675,6473300
FDX,7/1/2020,158.850006,163.649994,155.759995,156.660004,155.864151,17967500
FDX,7/2/2020,158.600006,159.720001,155.279999,155.479996,154.69014,4046900
FDX,7/6/2020,157.899994,158.399994,153.660004,156.270004,155.476135,3015800
FDX,7/7/2020,154.270004,159.949997,154.130005,158.539993,157.734589,2582800
FDX,7/8/2020,158.119995,159.380005,156.270004,158.559998,157.754501,2110700
FDX,7/9/2020,158,158.75,155.320007,155.740005,154.948837,2238300
FDX,7/10/2020,156.199997,159.009995,155.970001,158.589996,157.784332,1746200
