Symbol,Date,Open,High,Low,Close,Adj Close,Volume
PEP,3/27/2020,118.57,124.650002,117.989998,120.459999,117.83931,9852500
PEP,3/30/2020,121.610001,125.839996,121.510002,125.480003,122.750099,6916800
PEP,3/31/2020,124.940002,125.699997,119.529999,120.099998,117.487144,7091700
PEP,4/1/2020,117.269997,122.300003,115.669998,118.120003,115.550224,6873000
PEP,4/2/2020,117.220001,125.18,116.480003,123.860001,121.165344,6181800
PEP,4/3/2020,123.190002,125.370003,122.440002,124.589996,121.879463,5552000
PEP,4/6/2020,128.660004,132.130005,125.290001,131.160004,128.306534,8242200
PEP,4/7/2020,132.710007,135.080002,130.289993,130.479996,127.641312,6253900
PEP,4/8/2020,129.639999,133.289993,129.130005,132.610001,129.724976,5241100
PEP,4/9/2020,132.089996,135.080002,131.509995,133.630005,130.722794,5502400
PEP,4/13/2020,131.690002,133.350006,129.429993,130.889999,128.042389,3785000
PEP,4/14/2020,133.220001,138.630005,132.350006,138.399994,135.389008,6278700
PEP,4/15/2020,137.139999,137.559998,133.699997,135.029999,132.092331,5773100
PEP,4/16/2020,136.970001,136.970001,133.850006,135.639999,132.689072,4564000
PEP,4/17/2020,137.729996,138,134.910004,137.550003,134.55751,4866500
PEP,4/20/2020,136.940002,137.380005,134.509995,134.550003,131.622772,3995400
PEP,4/21/2020,132.139999,132.940002,130.589996,130.940002,128.091309,4359500
PEP,4/22/2020,132.440002,133.669998,131.220001,132.619995,129.734756,4085100
PEP,4/23/2020,132.5,134.139999,130.029999,130.259995,127.426094,5527700
PEP,4/24/2020,130.869995,134.820007,130.649994,134.360001,131.436905,4065500
PEP,4/27/2020,134.419998,135.210007,133.889999,134.460007,131.534729,4009200
PEP,4/28/2020,136.779999,137.679993,134.660004,136.320007,133.354279,6674200
PEP,4/29/2020,136.770004,136.979996,132.899994,133.360001,130.458679,6706800
PEP,4/30/2020,132.410004,133.169998,130.419998,132.289993,129.411942,6783000
PEP,5/1/2020,131.119995,132.229996,129.520004,130.139999,127.308708,4488000
PEP,5/4/2020,130.169998,131.350006,129.320007,130.919998,128.071732,5245300
PEP,5/5/2020,131.639999,133.330002,130.770004,131.669998,128.805435,3580000
PEP,5/6/2020,131.580002,132.229996,130.690002,130.779999,127.934799,4192200
PEP,5/7/2020,131.550003,132,130.119995,131.550003,128.688065,5528000
PEP,5/8/2020,133.070007,135.160004,132.460007,134.229996,131.309738,4209100
PEP,5/11/2020,133.429993,136.199997,133.169998,134.380005,131.456467,3591100
PEP,5/12/2020,134.759995,136.380005,132.860001,132.940002,130.047806,3914600
PEP,5/13/2020,133.179993,134.470001,131.449997,132.960007,130.067383,5168500
PEP,5/14/2020,132.710007,133.559998,130.149994,133.080002,130.184769,5522200
PEP,5/15/2020,133.770004,137.660004,132.789993,135.949997,132.992325,20338200
PEP,5/18/2020,136.850006,137.990005,135.059998,135.520004,132.571671,8480300
PEP,5/19/2020,134.429993,134.759995,131.399994,131.729996,128.864105,6640300
PEP,5/20/2020,132.539993,132.679993,130.339996,131.259995,128.404343,8213100
PEP,5/21/2020,130.979996,131.440002,129.610001,130.210007,127.37719,4886300
PEP,5/22/2020,129.610001,130.630005,129.169998,130.479996,127.641312,3429200
PEP,5/26/2020,131.940002,132.050003,129.399994,129.75,126.9272,5579300
PEP,5/27/2020,129.720001,130.839996,128.580002,130.809998,127.964149,5686500
PEP,5/28/2020,131.210007,132.729996,130.110001,132.289993,129.411942,4974400
